Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure,Number_of_Purchases,Customer_Support_Requests,Login_Frequency,Satisfaction_Score,Payment_Delay,Contract_Length,Total_Spending,Days_Since_Last_Activity,Churn_Status
56.0,1,3,1,3860.0,52,15,10,2,5.0,20,0,200720,83,1
40.0,1,1,1,4482.0,11,24,2,1,5.0,1,2,49302,88,0
61.0,1,5,0,1305.0,30,2,4,1,1.0,11,0,39150,58,1
39.0,1,7,1,5904.0,44,49,10,0,3.0,30,0,259776,42,0
45.0,1,5,0,1475.0,60,15,2,2,4.0,22,2,88500,64,0
20.0,0,3,0,1318.0,37,7,4,0,1.0,6,1,48766,18,0
21.0,0,0,0,815.0,25,14,1,1,2.0,8,1,20375,90,1
19.0,1,2,2,1591.0,20,60,6,1,4.0,28,1,31820,8,1
64.0,0,0,0,705.0,35,36,1,0,4.0,1,1,24675,6,0
59.0,1,5,0,1321.0,4,63,1,0,2.0,11,1,5284,34,0
27.0,0,7,1,5317.0,36,48,7,1,4.0,24,0,191412,62,1
57.0,1,0,0,1219.0,21,53,7,1,2.0,24,0,25599,60,1
62.0,0,0,2,2680.0,41,15,0,0,1.0,6,1,109880,9,0
41.0,1,4,2,2147.0,1,63,10,1,3.0,16,2,2147,8,1
52.0,0,2,1,2284.0,35,5,9,0,2.0,8,0,186760,28,1
24.0,1,1,2,2279.0,9,34,0,2,5.0,2,1,20511,44,0
57.0,1,4,0,1486.0,22,35,0,1,3.0,4,0,32692,47,0
31.0,0,5,2,2528.0,3,14,6,1,3.0,8,0,7584,79,1
32.0,0,7,1,5939.0,26,77,2,2,1.0,19,1,154414,4,1
47.0,0,1,2,2930.0,37,15,10,1,5.0,3,0,108410,13,0
49.0,0,5,1,4722.0,7,28,1,2,2.0,12,1,33054,62,1
23.0,1,1,1,4051.0,28,44,3,2,3.0,25,0,113428,89,1
56.0,1,2,0,884.0,33,27,8,0,4.0,12,0,29172,3,0
56.0,0,2,2,2979.0,6,27,8,2,5.0,0,2,17874,51,1
59.0,0,0,1,3663.0,44,79,10,1,1.0,19,2,161172,62,1
29.0,1,0,1,4636.0,39,56,0,2,3.0,16,0,180804,2,0
19.0,0,5,0,1065.0,28,1,2,2,2.0,20,0,29820,44,1
43.0,0,1,1,4733.0,32,32,6,1,4.0,22,2,151456,75,1
34.0,0,7,0,779.0,38,69,3,2,2.0,5,0,29602,86,1
28.0,1,4,2,1643.0,48,73,10,1,5.0,2,0,78864,20,0
53.0,0,0,0,845.0,19,67,2,1,4.0,6,0,16055,52,0
58.0,1,2,1,4959.0,33,39,1,2,1.0,10,0,163647,57,1
42.0,1,1,1,5198.0,50,31,9,2,3.0,6,2,259900,16,0
43.0,1,0,1,4016.0,48,60,0,0,2.0,0,1,192768,48,0
29.0,1,7,1,4183.0,5,9,8,2,3.0,18,1,20915,48,1
33.0,0,6,1,3403.0,3,24,5,2,1.0,23,0,10209,75,1
25.0,1,7,0,921.0,36,25,1,2,2.0,1,0,33156,54,1
52.0,1,7,0,1456.0,16,41,3,1,1.0,3,2,23296,33,0
31.0,1,7,0,1315.0,21,20,7,1,3.0,16,1,27615,33,1
65.0,1,7,2,2454.0,12,22,5,0,5.0,18,1,29448,54,0
25.0,1,1,1,5074.0,27,21,0,0,4.0,14,2,136998,64,0
50.0,0,7,2,2519.0,5,61,2,2,4.0,2,0,12595,64,1
34.0,1,2,1,4243.0,44,30,4,2,3.0,27,1,186692,37,0
41.0,0,5,2,1996.0,29,46,4,0,3.0,27,0,57884,63,0
38.0,1,3,2,2684.0,32,67,1,0,3.0,9,1,85888,54,0
20.0,1,7,0,1185.0,40,24,1,1,2.0,30,2,47400,27,1
59.0,0,1,2,2284.0,2,33,8,1,3.0,21,1,4568,48,1
56.0,0,7,0,1181.0,29,26,2,2,2.0,24,2,34249,24,0
30.0,1,3,1,4529.0,60,7,8,0,4.0,12,0,271740,20,0
18.0,1,7,0,1011.0,8,16,2,2,4.0,1,1,8088,66,0
49.0,0,7,2,2353.0,23,51,8,1,2.0,30,0,54119,62,1
39.0,0,3,2,2069.0,58,49,3,2,2.0,5,1,120002,15,0
60.0,0,5,1,5660.0,60,8,4,0,4.0,11,2,339600,5,0
56.0,0,1,0,1273.0,4,47,2,2,4.0,15,0,5092,13,0
59.0,1,3,1,4682.0,30,17,7,2,3.0,27,0,140460,58,1
43.0,1,6,1,3116.0,37,62,6,0,1.0,11,0,115292,1,1
18.0,1,2,0,1301.0,47,48,8,1,5.0,20,2,61147,1,0
33.0,1,7,2,2203.0,39,63,4,1,5.0,22,2,85917,67,0
29.0,1,3,1,4679.0,26,51,4,1,1.0,28,1,121654,78,1
45.0,0,0,0,546.0,5,62,3,0,5.0,11,2,2730,16,0
43.0,0,7,2,1931.0,26,39,3,2,1.0,29,0,50206,23,1
27.0,0,6,2,2623.0,54,34,3,1,2.0,25,0,141642,19,1
49.0,0,2,0,824.0,1,4,7,0,2.0,16,0,824,32,1
44.0,0,1,2,2189.0,20,35,0,1,1.0,28,0,43780,51,1
60.0,0,0,0,767.0,37,67,0,2,1.0,7,2,28379,74,0
60.0,0,3,1,3284.0,44,13,1,0,5.0,18,1,144496,35,0
40.0,1,1,2,1589.0,17,8,9,1,2.0,25,0,27013,34,1
58.0,1,0,2,2719.0,7,58,4,0,2.0,12,0,19033,75,1
46.0,0,7,1,3728.0,56,21,8,0,4.0,9,1,208768,73,0
41.0,0,0,0,1188.0,35,36,1,1,1.0,6,2,41580,24,0
40.0,0,0,0,536.0,32,12,0,1,5.0,22,1,17152,89,1
52.0,1,0,0,1297.0,41,17,0,0,4.0,15,1,53177,89,0
39.0,0,3,0,1198.0,13,19,0,1,4.0,11,2,15574,61,0
58.0,1,3,2,1575.0,19,9,6,0,4.0,13,2,29925,52,0
36.0,1,5,0,2284.0,58,16,4,1,5.0,2,1,50228,12,0
42.0,0,3,2,2390.0,52,53,6,1,1.0,6,2,124280,53,1
59.0,1,2,2,2434.0,58,14,9,0,5.0,2,1,141172,87,0
46.0,1,7,0,1342.0,43,18,8,1,2.0,25,1,57706,17,1
55.0,1,1,1,4197.0,7,13,7,2,2.0,8,1,29379,50,1
44.0,1,0,0,693.0,58,5,4,0,3.0,7,0,40194,65,0
39.0,0,3,2,2010.0,52,71,8,1,5.0,3,0,104520,36,0
23.0,0,4,2,2938.0,60,19,5,1,3.0,9,0,176280,90,0
