Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure,Number_of_Purchases,Customer_Support_Requests,Login_Frequency,Last_Activity_Date,Satisfaction_Score,Payment_Delay,Contract_Length,Total_Spending,Days_Since_Last_Activity,Churn_Status
CUST0001,56.0,Male,Lahore,Premium,3860.0,52,15,10,Medium,2026-04-07,5.0,20,Monthly,200720,83,Yes
CUST0002,40.0,Male,Islamabad,Premium,4482.0,11,24,2,Low,2026-04-02,5.0,1,Yearly,49302,88,No
CUST0003,61.0,Male,Peshawar,Basic,1305.0,30,2,4,Low,2026-05-02,1.0,11,Monthly,39150,58,Yes
CUST0004,39.0,Male,Rawalpindi,Premium,5904.0,44,49,10,High,2026-05-18,3.0,30,Monthly,259776,42,No
CUST0005,45.0,Male,Peshawar,Basic,1475.0,60,15,2,Medium,2026-04-26,4.0,22,Yearly,88500,64,No
CUST0006,20.0,Female,Lahore,Basic,1318.0,37,7,4,High,2026-06-11,1.0,6,Quarterly,48766,18,No
CUST0007,21.0,Female,Faisalabad,Basic,815.0,25,14,1,Low,2026-03-31,2.0,8,Quarterly,20375,90,Yes
CUST0008,19.0,Male,Karachi,Standard,1591.0,20,60,6,Low,2026-06-21,4.0,28,Quarterly,31820,8,Yes
CUST0009,64.0,Female,Faisalabad,Basic,705.0,35,36,1,High,2026-06-23,4.0,1,Quarterly,24675,6,No
CUST0010,59.0,Male,Peshawar,Basic,1321.0,4,63,1,High,2026-05-26,2.0,11,Quarterly,5284,34,No
CUST0011,27.0,Female,Rawalpindi,Premium,5317.0,36,48,7,Low,2026-04-28,4.0,24,Monthly,191412,62,Yes
CUST0012,57.0,Male,Faisalabad,Basic,1219.0,21,53,7,Low,2026-04-30,2.0,24,Monthly,25599,60,Yes
CUST0013,62.0,Female,Faisalabad,Standard,2680.0,41,15,0,High,2026-06-20,1.0,6,Quarterly,109880,9,No
CUST0014,41.0,Male,Multan,Standard,2147.0,1,63,10,Low,2026-06-21,3.0,16,Yearly,2147,8,Yes
CUST0015,52.0,Female,Karachi,Premium,,35,5,9,High,2026-06-01,2.0,8,Monthly,186760,28,Yes
CUST0016,24.0,Male,Islamabad,Standard,2279.0,9,34,0,Medium,2026-05-16,5.0,2,Quarterly,20511,44,No
CUST0017,57.0,Male,Multan,Basic,1486.0,22,35,0,Low,2026-05-13,3.0,4,Monthly,32692,47,No
CUST0018,31.0,Female,Peshawar,Standard,2528.0,3,14,6,Low,2026-04-11,3.0,8,Monthly,7584,79,Yes
CUST0019,32.0,Female,Rawalpindi,Premium,5939.0,26,77,2,Medium,2026-06-25,1.0,19,Quarterly,154414,4,Yes
CUST0020,47.0,Female,Islamabad,Standard,2930.0,37,15,10,Low,2026-06-16,5.0,3,Monthly,108410,13,No
CUST0021,49.0,Female,Peshawar,Premium,4722.0,7,28,1,Medium,2026-04-28,2.0,12,Quarterly,33054,62,Yes
CUST0022,23.0,Male,Islamabad,Premium,4051.0,28,44,3,Medium,2026-04-01,3.0,25,Monthly,113428,89,Yes
CUST0023,56.0,Male,Karachi,Basic,884.0,33,27,8,High,2026-06-26,4.0,12,Monthly,29172,3,No
CUST0024,56.0,Female,Karachi,Standard,2979.0,6,27,8,Medium,2026-05-09,5.0,0,Yearly,17874,51,Yes
CUST0025,59.0,Female,Faisalabad,Premium,3663.0,44,79,10,Low,2026-04-28,1.0,19,Yearly,161172,62,Yes
CUST0026,29.0,Male,Faisalabad,Premium,4636.0,39,56,0,Medium,2026-06-27,3.0,16,Monthly,180804,2,No
CUST0027,19.0,Female,Peshawar,Basic,1065.0,28,1,2,Medium,2026-05-16,2.0,20,Monthly,29820,44,Yes
CUST0028,43.0,Female,Islamabad,Premium,4733.0,32,32,6,Low,2026-04-15,4.0,22,Yearly,151456,75,Yes
CUST0029,34.0,Female,Rawalpindi,Basic,779.0,38,69,3,Medium,2026-04-04,2.0,5,Monthly,29602,86,Yes
