Feature,Importance
Satisfaction_Score,0.2617370682746223
Days_Since_Last_Activity,0.11880536078927717
Payment_Delay,0.10866777941087485
Customer_Support_Requests,0.0997085154492584
Contract_Length,0.06427705839908002
Total_Spending,0.058042232742466254
Tenure,0.05468887859339329
Monthly_Spending,0.05032975478175005
Login_Frequency,0.04843523340793876
Number_of_Purchases,0.046975400189269996
Age,0.04293176860941351
City,0.02700636974554536
Subscription_Type,0.01021350551282553
Gender,0.008181074094284483
